SMILES,tg
C=CC(=O)OCCCOCC,218.0
C=CC(=O)Oc1ccc(OC)cc1,324.0
CCC=C,245.0
CCCCCCCCOC(=O)C(=C)C#N,322.0
ClC(=C)Cl,270.0
C=CC(=O)NC(C)C,403.0
OC(=O)CCCCCCCCC(=O)O.NCCCCCCCCCCN,323.0
O=C1OCC(=O)OC1,312.0
OC(=N)C=C,438.0
O1CC1,225.0
C=Cc1ccc(C(=O)OCCC)cc1,365.0
C=Cc1ccc(C(=O)OCC(C)C)cc1,363.0
OC(=O)CCC(=O)O.OCCCO,232.0
C=CC(=O)OCCOCC,223.0
CCCCCCCCCCCCOC(=O)C(=C)C,270.0
C=Cc1ccc(cc1)Cl,398.0
C=CC(=O)Oc1ccc(C(=O)OC)cc1,340.0
C=CC(=O)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,243.0
CC(OC=C)CC,253.0
C=CC(=O)OCC(C)CCC,235.0
C=CC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)F,238.0
FC=C,300.0
OC(=O)CCCCC(=O)O.OCCCO,215.0
NCCCCCCN.OC(=O)CCCCCCCCCCC(=O)O,319.0
C=CC(=O)OC(C)CCCCC,235.0
C=C,200.0
CCCCCC=C,230.0
C=CC(=O)Oc1ccc(C)cc1,316.0
OC(=O)c1cccc(c1)C(=O)O.OCCO,324.0
CCCCCCCCOC(=O)C=C,208.0
CC=C,264.0
C=CC(=O)Oc1cccc(C(=O)OCC)c1,297.0
CC(=C)C(=O)Oc1ccccc1,330.0
C=CC(=O)OCCC#N,277.0
OC(=O)CCCCCCCCC(=O)O.OCCCCO,214.0
C=CC(=O)Oc1ccc(C#N)cc1,317.0
O=C1CCCCCN1,324.0
C=Cc2ccc(C(=O)c1ccccc1)cc2,371.0
C=CC(=O)OCCC(=O)CC(F)(F)C(F)(F)C(F)(F)F,228.0
Oc1ccc(cc1)Sc1ccc(cc1)O.ClC(=O)C,386.0
CCCCC=C,223.0
CCOCOC(=O)C(=C)C,223.0
C=CC(=O)Oc1ccccc1C,325.0
NCCCCCCCCCN.ClC(=O)c1ccc(cc1)C(=O)Cl,394.0
O=C1CCCO1,221.0
C=CC(=O)OC(F)(C(F)(F)F)C(F)(F)F,283.0
COC(=O)C=C,283.0
C=CC(=O)OCC(CC)CC,223.0
C=Cc1cc(F)ccc1F,374.0
C=CC(=O)Oc1ccc(CCCOC)cc1,198.0
C=Cc1ccc(cc1)F,376.0
CCCCCCOC=C,198.0
C=CC(=O)OCCCCCC,216.0
CCCCCCCOC(=O)C=C,213.0
C=Cc1ccc(C(=O)CCC)cc1,347.0
Brc1ccc(cc1)Br,538.0
OC(=O)CCCCCCCCC(=O)O.OCCCCCCO,213.0
C=Cc1ccc(C(C)CCC)cc1,359.0
OC(=O)CCC(=O)O.OCCCCO,237.0
C=CC(=O)OCC(F)(F)C(F)(F)C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,205.0
C=CC(=O)OC1CCCCC1,289.0
C=CC(=O)OCCCCCCCCC,215.0
C=Cc1ccc(C(=O)CCCCCCC)cc1,323.0
C=Cc1ccccc1C(=O)OCC(C)(C)C,341.0
C=CC(=O)OCC(F)(F)F,263.0
CCCCCCCCOC=C,193.0
C=Cc1ccc(cc1)Br,411.0
CCCCCCOCC1CO1,189.0
C=Cc1ccc(C(C)(O)CCCCC)cc1,364.0
C=Cc1ccc(C(=O)CCCC)cc1,343.0
CCCCOC(=O)C=C,219.0
CCCCCCC=C,218.0
C=CC(=O)OCCC(=O)CC#N,250.0
C=CC(=O)Oc2ccc(c1ccccc1)cc2,383.0
C=Cc2ccc(Oc1ccccc1)cc2,373.0
FC(=C(F)F)Cl,360.0
C=Cc1ccccc1C(=O)OCCCCCC,318.0
C1CNC1=O,384.0
ClCC1CO1,252.0
C1CCCO1,189.0
OC(=O)c1ccc2c(c1)ccc(c2)C(=O)O.OCCO,392.0
CC(=C)C#N,388.0
C=Cc1ccc(C(=O)OCCCCCC)cc1,339.0
NCCCCCCN.OC(=O)CCCCC(=O)O,324.0
C=CCC=C,208.0
Oc1ccc(cc1)c1ccc(cc1)O.Clc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Cl,482.0
C=Cc1ccc(C(=O)CCCCC)cc1,339.0
C=CCC(C)C,302.0
CC(=C)C,202.0
C=Cc1ccc(C(=O)OC(C)C)cc1,368.0
OC(=O)CCCCCCCCC(=O)O.NCCCCCCN,323.0
C=Cc1ccc(COCC(O)CC)cc1,319.0
CCCCOC=C,220.0
OC(=O)CCCCCCCC(=O)O.NCCCCCCN,332.0
C=CC(=O)OCC(F)(F)C(F)C(F)(F)F,251.0
C=Cc2ccc(Cc1ccc(OC)cc1)cc2,376.0
NCCCCCCCCCCCC(=O)O,313.0
C=O,211.0
C=CC(=O)OCCC(=O)CC(F)(F)F,235.0
CCCC=C,238.0
C=CC(=O)Oc1cccc(C)c1,298.0
Clc1cc2CCc3ccc(CCc1cc2)cc3Cl,358.0
OC(=O)c1ccc(cc1)C(=O)O.OCC1CCC(CC1)CO,364.0
C=CC(=O)OCC(F)(F)C(F)(F)C(=O)C(F)(F)F,218.0
C=Cc1ccccc1Cl,395.0
C=Cc1ccc(CCOC)cc1,359.0
C=CC(=O)OCC(F)(F)C(F)(F)F,247.0
C=CC(=O)OCCCC#N,233.0
C=CC(=O)OCC(C)OC,217.0
C=CC#N,383.0
OC(=O)c1cccc(c1)C(=O)O.OCCCCO,297.0
C=Cc1ccc(C(=O)OCC)cc1,367.0
C=CC(=O)Oc1ccccc1C(=O)OCC,303.0
O=C1CCCCCCCN1,324.0
C=CC(=O)OCc1ccccc1,279.0
CC(=C)C(=O)OCCc1ccccc1,270.0
C=CC(=O)Oc1ccccc1C(C)(C)C,345.0
O=C=O.C1CO1,290.0
C=CC(=O)OCCCCC,216.0
C=CC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,236.0
CCCCOC(=O)C(=C)C#N,374.0
C=CC(=O)NC(C)(C)C,401.0
C=Cc1ccccc1C(=O)OCCCC,339.0
C=CC(=O)OCCC(=O)C(F)(F)C(F)F,251.0
OC(=O)c1ccc(cc1)C(=O)O.OCCO,344.0
C=Cc2ccc(C(=O)Cc1ccccc1)cc2,351.0
C=CC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,234.0
CC1CC(=O)O1,276.0
C=CC(=O)OCC(C)C(C)CC,258.0
C=CC(=O)OCC(C)CC,241.0
C=CC(=O)OC(C)(C)C,311.0
CCCCCCCC=C,225.0
C=Cc1ccc(C(=O)N(CC)CC)cc1,375.0
C=CC(=O)Oc1ccc(C(C)(C)C)cc1,344.0
CC(c1ccc(cc1)O)(c1ccc(cc1)O)C.ClC(=O)Cl,430.0
FC(F)C(F)(F)COC(=O)C(=C),249.0
C=CC(=O)OF,288.0
C=Cc1ccccc1COC(C)C,361.0
CCCCCCOC(=O)C=C,308.0
Oc1ccc(cc1)O.Clc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Cl,479.0
OC(=O)c1ccc(cc1)C(=O)O.OCCCO,327.0
Brc1ccc(cc1)Br.C=C,353.0
C=CC(=O)OCCC(C)C,228.0
C=Cc1cc(C(C)(C)C)ccc1C,360.0
CC(c1ccc(cc1)O)(c1ccc(cc1)O)C.Clc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Cl,459.0
C=CC(=O)Oc1cccc(N(C)C)c1,320.0
C=CC(=O)Oc1cccc(C(=O)OC)c1,311.0
OC(=O)CCCCC(=O)O.OCCCCO,202.0
CCC=CC=C,197.0
Clc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Cl.Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)O,489.0
C=Cc2ccc(/C(Cc1ccccc1)=N/O)cc2,384.0
C=CC(=O)OCCCCCCCCCCCCCC,297.0
C=Cc1ccc(C(=O)OCCCC)cc1,349.0
C=C(C)CC,255.0
C=Cc1ccccc1COCC(C)(C)C,351.0
CCC(c1ccc(cc1)O)(c1ccc(cc1)O)C.ClC(=O)Cl,415.0
CCCCOCC1CO1,194.0
OC(=O)C=C,374.0
C1CCO1,197.0
OC(=O)CCCCC(=O)O.OCCO,230.0
C=Cc1ccc(COC)cc1,350.0
OC(=O)c1ccc(cc1)C(=O)O.Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O,472.0
C=Cc1ccc(OC)cc1C,358.0
OC(=O)CCC(=O)O.OCCCCCCO,220.0
CCCCCCCCCCCCCCCCCCCCCCCCCCOC(=O)C=C,311.0
CCCCCCCCC=C,230.0
FC(=C(F)F)F,390.0
C=CC(=O)OCC#N,296.0
C=COCC(C)C,255.0
C=CC(=O)Oc1ccc(C(=O)OCC)cc1,310.0
OC(=O)C(O)C,332.0
C=CC(=O)Nc1ccccc1,425.0
C=CC(=O)OCCCCCCC#N,358.0
C=CC(=O)OCC(C)C,249.0
C=Cc1ccc(OCCC)cc1,343.0
C=CC(=O)OCC(F)(F)C(F)(F)C(=O)C(F)(F)C(F)(F)F,224.0
CCCCCCCCNC(=O)C=C,220.0
OC(=O)c1cc(ccc1)C(=O)O.Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O,462.0
