SMILES,SMILES_1_atom,SMILES_2_atom,SMILES_3_atom,SMILES_1,SMILES_2,SMILES_3,tg
C=CC(=O)OCC#N,"[6, 7]","[2, 4, 5]","[5, 6, 7]",[C]#[N],[C]-[O]-[CH2],[CH2]-[C]#[N],296
C=CC(=O)NC(C)(C)C,"[0, 1]","[1, 2, 3, 4]","[5, 6]",[CH2]=[CH],[CH]-[C](-[NH])=[O],[C]-[CH3],401
CCCCCCCCNC(=O)C=C,"[11, 12]","[1, 2, 3, 4, 5]","[1, 2, 3]",[CH]=[CH2],[CH2]-[CH2]-[CH2]-[CH2]-[CH2],[CH2]-[CH2]-[CH2],220
C=CC(=O)NC(C)C,"[0, 1]","[1, 2, 3, 4]","[5, 6]",[CH2]=[CH],[CH]-[C](-[NH])=[O],[CH]-[CH3],403
OC(=N)C=C,"[3, 4]","[0, 1, 2, 3]","[0, 1, 2, 3, 4]",[CH]=[CH2],[CH]-[C](=[NH])-[OH],[CH2]=[CH]-[C](=[NH])-[OH],438
C=CC#N,"[2, 3]","[1, 2, 3]","[0, 1]",[C]#[N],[CH]-[C]#[N],[CH2]=[CH],383
CC(=C)C#N,"[3, 4]","[1, 3, 4]","[1, 2]",[C]#[N],[C]-[C]#[N],[C]=[CH2],388
CCCCOC(=O)C(=C)C#N,"[9, 10]","[3, 4, 5]","[7, 9, 10]",[C]#[N],[C]-[O]-[CH2],[C]-[C]#[N],374
CCCCCCCCOC(=O)C(=C)C#N,"[13, 14]","[7, 8, 9]","[11, 13, 14]",[C]#[N],[C]-[O]-[CH2],[C]-[C]#[N],322
CCCCCCOC(=O)C(=C)C#N,"[11, 12]","[5, 6, 7]","[9, 11, 12]",[C]#[N],[C]-[O]-[CH2],[C]-[C]#[N],359
FC(=C)F,"[1, 2]","[0, 1, 2, 3]","[0, 1]",[C]=[CH2],[CH2]=[C](-[F])-[F],[C]-[F],242
FC(=C(F)F)Cl,"[0, 1, 2, 5]","[1, 2, 3, 4]","[1, 5]",[C]=[C](-[F])-[Cl],[C]=[C](-[F])-[F],[C]-[Cl],360
OC(=O)c1ccc(cc1)C(=O)O.OCCCO,"[3, 4, 5, 6, 7, 8]","[13, 14, 15]","[1, 2]",[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1,[CH2]-[CH2]-[CH2],[C]=[O],327
OC(=O)CCC(=O)O.OCCCO,"[9, 10, 11]","[0, 1, 2, 3]","[1, 2]",[CH2]-[CH2]-[CH2],[CH2]-[C](=[O])-[OH],[C]=[O],232
OC(=O)CCCCC(=O)O.OCCCO,"[3, 4, 5]","[0, 1, 2, 3]","[1, 2]",[CH2]-[CH2]-[CH2],[CH2]-[C](=[O])-[OH],[C]=[O],215
OC(=O)C(O)C,"[0, 1, 2, 3]","[3, 5]","[1, 2]",[CH]-[C](=[O])-[OH],[CH]-[CH3],[C]=[O],332
O=C1CCCO1,"[0, 1, 2, 5]","[1, 4, 5]","[0, 1]",[CH2]-[C](=[O])-[O],[C]-[O]-[CH2],[C]=[O],221
CC1CC(=O)O1,"[2, 3, 4, 5]","[1, 3, 5]","[0, 1]",[CH2]-[C](=[O])-[O],[C]-[O]-[CH],[CH3]-[CH],276
OC(=O)CCC(=O)O.OCCCCCCO,"[9, 10, 11, 12, 13]","[9, 10, 11]","[0, 1, 2, 3]",[CH2]-[CH2]-[CH2]-[CH2]-[CH2],[CH2]-[CH2]-[CH2],[CH2]-[C](=[O])-[OH],220
OC(=O)CCCCCCCCC(=O)O.OCCCCCCO,"[3, 4, 5, 6, 7]","[3, 4, 5]","[0, 1, 2, 3]",[CH2]-[CH2]-[CH2]-[CH2]-[CH2],[CH2]-[CH2]-[CH2],[CH2]-[C](=[O])-[OH],213
O=C1OCC(=O)OC1,"[0, 1, 2, 7]","[1, 2, 3]","[0, 1]",[CH2]-[C](=[O])-[O],[C]-[O]-[CH2],[C]=[O],312
OC(=O)c1ccc(cc1)C(=O)O.OCCO,"[3, 4, 5, 6, 7, 8]","[1, 2]","[0, 1]",[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1,[C]=[O],[C]-[OH],344
OC(=O)c1ccccc1C(=O)O.OCCO,"[3, 4, 5, 6, 7, 8]","[1, 2]","[0, 1]",[cH]1:[cH]:[c]:[c]:[cH]:[cH]:1,[C]=[O],[C]-[OH],297
OC(=O)c1ccc2c(c1)ccc(c2)C(=O)O.OCCO,"[3, 4, 5, 6, 7, 8]","[1, 2]","[0, 1]",[cH]1:[cH]:[c]:[cH]:[c]:[c]:1,[C]=[O],[C]-[OH],392
OC(=O)c1cccc(c1)C(=O)O.OCCO,"[3, 4, 5, 6, 7, 8]","[1, 2]","[0, 1]",[cH]1:[cH]:[c]:[cH]:[c]:[cH]:1,[C]=[O],[C]-[OH],324
OC(=O)CCCCC(=O)O.OCCO,"[3, 4, 5]","[0, 1, 2, 3]","[1, 2]",[CH2]-[CH2]-[CH2],[CH2]-[C](=[O])-[OH],[C]=[O],230
OC(=O)c1ccc(cc1)C(=O)O.OCC1CCC(CC1)CO,"[3, 4, 5, 6, 7, 8]","[1, 2]","[0, 1]",[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1,[C]=[O],[C]-[OH],364
O=C1CCCCCO1,"[0, 1, 2, 7]","[1, 6, 7]","[0, 1]",[CH2]-[C](=[O])-[O],[C]-[O]-[CH2],[C]=[O],208
OC(=O)CCC(=O)O.OCCO,"[0, 1, 2, 3]","[1, 2]","[0, 1]",[CH2]-[C](=[O])-[OH],[C]=[O],[C]-[OH],267
OC(=O)CCCCCCCCC(=O)O.OCCO,"[3, 4, 5, 6, 7]","[3, 4, 5]","[0, 1, 2, 3]",[CH2]-[CH2]-[CH2]-[CH2]-[CH2],[CH2]-[CH2]-[CH2],[CH2]-[C](=[O])-[OH],244
OC(=O)c1ccc(cc1)C(=O)O.OCCCCO,"[3, 4, 5, 6, 7, 8]","[13, 14, 15]","[1, 2]",[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1,[CH2]-[CH2]-[CH2],[C]=[O],313
OC(=O)CCC(=O)O.OCCCCO,"[9, 10, 11]","[0, 1, 2, 3]","[1, 2]",[CH2]-[CH2]-[CH2],[CH2]-[C](=[O])-[OH],[C]=[O],237
OC(=O)CCCCCCCCC(=O)O.OCCCCO,"[3, 4, 5, 6, 7]","[3, 4, 5]","[0, 1, 2, 3]",[CH2]-[CH2]-[CH2]-[CH2]-[CH2],[CH2]-[CH2]-[CH2],[CH2]-[C](=[O])-[OH],214
OC(=O)c1cccc(c1)C(=O)O.OCCCCO,"[3, 4, 5, 6, 7, 8]","[13, 14, 15]","[1, 2]",[cH]1:[cH]:[c]:[cH]:[c]:[cH]:1,[CH2]-[CH2]-[CH2],[C]=[O],297
OC(=O)CCCCC(=O)O.OCCCCO,"[3, 4, 5]","[0, 1, 2, 3]","[1, 2]",[CH2]-[CH2]-[CH2],[CH2]-[C](=[O])-[OH],[C]=[O],202
OC(=O)c1ccc(cc1)C(=O)O.Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O,"[3, 4, 5, 6, 7, 8]","[12, 13, 14, 15, 16, 17, 18]","[19, 20]",[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1,[OH]-[c]1:[cH]:[cH]:[c]:[cH]:[cH]:1,[C]-[CH3],472
OC(=O)c1cc(ccc1)C(=O)O.Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O,"[3, 4, 5, 6, 7, 8]","[12, 13, 14, 15, 16, 17, 18]","[19, 20]",[c]1:[cH]:[c]:[cH]:[cH]:[cH]:1,[OH]-[c]1:[cH]:[cH]:[c]:[cH]:[cH]:1,[C]-[CH3],462
C1C(CO1)(CCl)CCl,"[0, 2, 3]","[4, 5]","[0, 1, 2, 4, 6]",[CH2]-[O]-[CH2],[CH2]-[Cl],[CH2]-[C](-[CH2])(-[CH2])-[CH2],272
C1CCO1,"[0, 2, 3]","[0, 1, 2]","[1, 2, 3]",[CH2]-[O]-[CH2],[CH2]-[CH2]-[CH2],[CH2]-[CH2]-[O],197
C1CCCO1,"[0, 3, 4]","[0, 1, 2]","[2, 3, 4]",[CH2]-[O]-[CH2],[CH2]-[CH2]-[CH2],[CH2]-[CH2]-[O],189
CC1CO1,"[1, 2, 3]","[0, 1]","[0, 1, 2, 3]",[CH]1-[CH2]-[O]-1,[CH3]-[CH],[CH3]-[CH]1-[CH2]-[O]-1,200
C1COCO1,"[1, 2, 3]","[0, 1, 2]","[0, 1, 2, 3, 4]",[CH2]-[O]-[CH2],[CH2]-[CH2]-[O],[CH2]1-[CH2]-[O]-[CH2]-[O]-1,209
CCCCCCOCC1CO1,"[5, 6, 7]","[8, 9, 10]","[1, 2, 3, 4, 5]",[CH2]-[O]-[CH2],[CH]1-[CH2]-[O]-1,[CH2]-[CH2]-[CH2]-[CH2]-[CH2],189
COCC1CO1,"[0, 1, 2]","[3, 4, 5]","[0, 1]",[CH3]-[O]-[CH2],[CH]1-[CH2]-[O]-1,[CH3]-[O],211
C1CCCCOC1,"[4, 5, 6]","[0, 1, 2]","[3, 4, 5]",[CH2]-[O]-[CH2],[CH2]-[CH2]-[CH2],[CH2]-[CH2]-[O],204
O1CC1,"[0, 1, 2]",[-1],[-1],[CH2]1-[CH2]-[O]-1,[O]1-[CH2]-[CH2]-1,[CH2]1-[CH2]-[O]-1,225
ClCC1CO1,"[2, 3, 4]","[0, 1]","[1, 2, 3, 4]",[CH]1-[CH2]-[O]-1,[CH2]-[Cl],[CH2]-[CH]1-[CH2]-[O]-1,252
CCCCOCC1CO1,"[3, 4, 5]","[6, 7, 8]","[1, 2, 3]",[CH2]-[O]-[CH2],[CH]1-[CH2]-[O]-1,[CH2]-[CH2]-[CH2],194
C=O,"[0, 1]",[-1],[-1],[CH2]=[O],[CH2]=[O],[O]=[CH2],211
C=CC=C,"[0, 1]","[0, 1, 2]","[0, 1, 2, 3]",[CH2]=[CH],[CH]-[CH]=[CH2],[CH2]=[CH]-[CH]=[CH2],268
CCC=CC=C,"[4, 5]","[0, 1]","[1, 2, 3]",[CH]=[CH2],[CH3]-[CH2],[CH]=[CH]-[CH2],197
CC=CC=C,"[3, 4]","[0, 1]","[0, 1, 2]",[CH]=[CH2],[CH]-[CH3],[CH]=[CH]-[CH3],204
C1CC=CC1,"[1, 2, 3]","[0, 1, 4]","[0, 1, 2]",[CH]=[CH]-[CH2],[CH2]-[CH2]-[CH2],[CH]-[CH2]-[CH2],178
NCCCCCCCCCN.ClC(=O)c1ccc(cc1)C(=O)Cl,"[14, 15, 16, 17, 18, 19]","[1, 2, 3, 4, 5]","[1, 2, 3]",[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1,[CH2]-[CH2]-[CH2]-[CH2]-[CH2],[CH2]-[CH2]-[CH2],394
OC(=O)CCCCCCCCC(=O)O.NCCCCCCCCCCN,"[3, 4, 5, 6, 7]","[3, 4, 5]","[0, 1, 2, 3]",[CH2]-[CH2]-[CH2]-[CH2]-[CH2],[CH2]-[CH2]-[CH2],[CH2]-[C](=[O])-[OH],323
NCCCCCCN.OC(=O)CCCCCCCCCCC(=O)O,"[1, 2, 3, 4, 5]","[1, 2, 3]","[8, 9, 10, 11]",[CH2]-[CH2]-[CH2]-[CH2]-[CH2],[CH2]-[CH2]-[CH2],[CH2]-[C](=[O])-[OH],319
OC(=O)CCCCCCCCC(=O)O.NCCCCCCN,"[3, 4, 5, 6, 7]","[3, 4, 5]","[0, 1, 2, 3]",[CH2]-[CH2]-[CH2]-[CH2]-[CH2],[CH2]-[CH2]-[CH2],[CH2]-[C](=[O])-[OH],323
OC(=O)CCCCCCCC(=O)O.NCCCCCCN,"[3, 4, 5, 6, 7]","[3, 4, 5]","[0, 1, 2, 3]",[CH2]-[CH2]-[CH2]-[CH2]-[CH2],[CH2]-[CH2]-[CH2],[CH2]-[C](=[O])-[OH],332
NCCCCCCN.OC(=O)CCCCC(=O)O,"[1, 2, 3, 4, 5]","[1, 2, 3]","[8, 9, 10, 11]",[CH2]-[CH2]-[CH2]-[CH2]-[CH2],[CH2]-[CH2]-[CH2],[CH2]-[C](=[O])-[OH],324
NCCCCCCCCCCCC(=O)O,"[1, 2, 3, 4, 5]","[1, 2, 3]","[11, 12, 13, 14]",[CH2]-[CH2]-[CH2]-[CH2]-[CH2],[CH2]-[CH2]-[CH2],[CH2]-[C](=[O])-[OH],313
NCCCCCCCCCC(=O)O,"[1, 2, 3, 4, 5]","[1, 2, 3]","[9, 10, 11, 12]",[CH2]-[CH2]-[CH2]-[CH2]-[CH2],[CH2]-[CH2]-[CH2],[CH2]-[C](=[O])-[OH],315
O=C1CCCCCCCN1,"[0, 1, 2, 9]","[0, 1]","[2, 3, 4]",[CH2]-[C](-[NH])=[O],[C]=[O],[CH2]-[CH2]-[CH2],324
O=C1CCCCCN1,"[0, 1, 2, 7]","[0, 1]","[2, 3, 4]",[CH2]-[C](-[NH])=[O],[C]=[O],[CH2]-[CH2]-[CH2],324
C1CNC1=O,"[0, 2, 3, 4]","[3, 4]","[0, 1, 2, 3, 4]",[CH2]-[C](-[NH])=[O],[C]=[O],[O]=[C]1-[CH2]-[CH2]-[NH]-1,384
C=CC(=O)Nc1ccccc1,"[5, 6, 7, 8, 9, 10]","[0, 1]","[1, 2, 3, 4]",[cH]1:[cH]:[c]:[cH]:[cH]:[cH]:1,[CH2]=[CH],[CH]-[C](-[NH])=[O],425
CCC=C,"[2, 3]","[0, 1]","[1, 2, 3]",[CH]=[CH2],[CH3]-[CH2],[CH2]=[CH]-[CH2],245
CCCCC=C,"[4, 5]","[1, 2, 3]","[0, 1]",[CH]=[CH2],[CH2]-[CH2]-[CH2],[CH3]-[CH2],223
C=C,"[0, 1]",[-1],[-1],[CH2]=[CH2],[CH2]=[CH2],[CH2]=[CH2],200
CCCCCCCC=C,"[7, 8]","[1, 2, 3, 4, 5]","[1, 2, 3]",[CH]=[CH2],[CH2]-[CH2]-[CH2]-[CH2]-[CH2],[CH2]-[CH2]-[CH2],225
CCCCCCC=C,"[6, 7]","[1, 2, 3, 4, 5]","[1, 2, 3]",[CH]=[CH2],[CH2]-[CH2]-[CH2]-[CH2]-[CH2],[CH2]-[CH2]-[CH2],218
CC(=C)C,"[1, 2]","[0, 1, 2, 3]","[0, 1]",[C]=[CH2],[CH2]=[C](-[CH3])-[CH3],[C]-[CH3],202
C=CCC(C)C,"[0, 1]","[3, 4]","[0, 1, 2]",[CH2]=[CH],[CH]-[CH3],[CH2]=[CH]-[CH2],302
C=CC(C)C,"[0, 1]","[2, 3]","[0, 1, 2]",[CH2]=[CH],[CH]-[CH3],[CH2]=[CH]-[CH],292
C=C(C)CC,"[0, 1]","[0, 1, 2, 3]","[1, 2]",[CH2]=[C],[CH2]=[C](-[CH3])-[CH2],[C]-[CH3],255
CCCCCCCCC=C,"[8, 9]","[1, 2, 3, 4, 5]","[1, 2, 3]",[CH]=[CH2],[CH2]-[CH2]-[CH2]-[CH2]-[CH2],[CH2]-[CH2]-[CH2],230
CCCCCC=C,"[5, 6]","[1, 2, 3]","[0, 1]",[CH]=[CH2],[CH2]-[CH2]-[CH2],[CH3]-[CH2],230
CC=C,"[1, 2]","[0, 1]","[0, 1, 2]",[CH]=[CH2],[CH]-[CH3],[CH2]=[CH]-[CH3],264
CCCC=C,"[3, 4]","[0, 1]","[2, 3, 4]",[CH]=[CH2],[CH3]-[CH2],[CH2]=[CH]-[CH2],238
C=CC(C)(C)C,"[0, 1]","[2, 3]","[0, 1, 2]",[CH2]=[CH],[C]-[CH3],[CH2]=[CH]-[C],337
C=CCC=C,"[1, 2, 3]","[0, 1]","[0, 1, 2]",[CH]-[CH2]-[CH],[CH2]=[CH],[CH2]=[CH]-[CH2],208
Brc1ccc(cc1)Br,"[1, 2, 3, 4, 5, 6]","[1, 2, 3, 4, 5, 6, 7]",[0],[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1,[Br]-[c]1:[cH]:[cH]:[c]:[cH]:[cH]:1,[Br],538
Brc1ccc(cc1)Br.C=C,"[1, 2, 3, 4, 5, 6]","[8, 9]","[1, 2, 3, 4, 5, 6, 7]",[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1,[CH2]=[CH2],[Br]-[c]1:[cH]:[cH]:[c]:[cH]:[cH]:1,353
C1Cc2ccc(cc2)CCc2ccc1cc2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",[-1],[-1],[cH]1:[cH]:[c]2:[cH]:[cH]:[c]:1-[CH2]-[CH2]-[c]1:[cH]:[cH]:[c](:[cH]:[cH]:1)-[CH2]-[CH2]-2,[c]12-[CH2]-[CH2]-[c]3:[cH]:[cH]:[c](-[CH2]-[CH2]-[c](:[cH]:[cH]:1):[cH]:[cH]:2):[cH]:[cH]:3,[cH]1:[cH]:[c]2-[CH2]-[CH2]-[c]3:[cH]:[cH]:[c](:[cH]:[cH]:3)-[CH2]-[CH2]-[c]:1:[cH]:[cH]:2,343
Clc1cc2CCc3ccc(CCc1cc2)cc3Cl,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",[-1],[c]1:[cH]:[c]2:[cH]:[cH]:[c]:1-[CH2]-[CH2]-[c]1:[cH]:[cH]:[c](:[c]:[cH]:1)-[CH2]-[CH2]-2,[Cl]-[c]1:[cH]:[c]2:[cH]:[cH]:[c]:1-[CH2]-[CH2]-[c]1:[cH]:[cH]:[c](:[c]:[cH]:1)-[CH2]-[CH2]-2,[cH]1:[c]2:[c](-[Cl]):[cH]:[c](:[cH]:1)-[CH2]-[CH2]-[c]1:[cH]:[cH]:[c](:[cH]:[c]:1-[Cl])-[CH2]-[CH2]-2,358
CC(c1ccc(cc1)O)(c1ccc(cc1)O)C.ClC(=O)Cl,"[2, 3, 4, 5, 6, 7]","[2, 3, 4, 5, 6, 7, 8]","[17, 18, 19, 20]",[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1,[OH]-[c]1:[cH]:[cH]:[c]:[cH]:[cH]:1,[O]=[C](-[Cl])-[Cl],430
Oc1ccc(cc1)Sc1ccc(cc1)O.ClC(=O)C,"[1, 2, 3, 4, 5, 6]","[0, 1, 2, 3, 4, 5, 6]","[15, 16, 17, 18]",[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1,[OH]-[c]1:[cH]:[cH]:[c]:[cH]:[cH]:1,[CH3]-[C](=[O])-[Cl],386
CCC(c1ccc(cc1)O)(c1ccc(cc1)O)C.ClC(=O)Cl,"[3, 4, 5, 6, 7, 8]","[3, 4, 5, 6, 7, 8, 9]","[18, 19, 20, 21]",[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1,[OH]-[c]1:[cH]:[cH]:[c]:[cH]:[cH]:1,[O]=[C](-[Cl])-[Cl],415
Oc1ccc(cc1)Cc1ccc(cc1)O.ClC(=O)Cl,"[1, 2, 3, 4, 5, 6]","[0, 1, 2, 3, 4, 5, 6]","[15, 16, 17, 18]",[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1,[OH]-[c]1:[cH]:[cH]:[c]:[cH]:[cH]:1,[O]=[C](-[Cl])-[Cl],407
O=C=O.C1CO1,"[0, 1, 2]","[3, 4, 5]","[0, 1]",[O]=[C]=[O],[CH2]1-[CH2]-[O]-1,[C]=[O],290
O=C=O.CC1CO1,"[0, 1, 2]","[4, 5, 6]","[3, 4]",[O]=[C]=[O],[CH]1-[CH2]-[O]-1,[CH3]-[CH],310
CC(c1cc(Cl)c(c(c1)Cl)O)(c1cc(Cl)c(c(c1)Cl)O)C.ClC(=O)Cl,"[2, 3, 4, 6, 7, 8]","[2, 3, 4, 6, 7, 8, 10]","[21, 22, 23, 24]",[c]1:[cH]:[c]:[cH]:[c]:[c]:1,[OH]-[c]1:[c]:[cH]:[c]:[cH]:[c]:1,[O]=[C](-[Cl])-[Cl],500
Oc1ccc(cc1)O.Clc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Cl,"[1, 2, 3, 4, 5, 6]","[0, 1, 2, 3, 4, 5, 6]","[15, 16]",[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1,[OH]-[c]1:[cH]:[cH]:[c]:[cH]:[cH]:1,[O]=[S],479
Clc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Cl.Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)O,"[1, 2, 3, 4, 5, 6]","[17, 18, 19, 20, 21, 22, 23]","[7, 8]",[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1,[OH]-[c]1:[cH]:[cH]:[c]:[cH]:[cH]:1,[O]=[S],489
Oc1ccc(cc1)c1ccc(cc1)O.Clc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Cl,"[1, 2, 3, 4, 5, 6]","[0, 1, 2, 3, 4, 5, 6]","[21, 22]",[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1,[OH]-[c]1:[cH]:[cH]:[c]:[cH]:[cH]:1,[O]=[S],482
CC(c1ccc(cc1)O)(c1ccc(cc1)O)C.Clc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Cl,"[2, 3, 4, 5, 6, 7]","[2, 3, 4, 5, 6, 7, 8]","[0, 1]",[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1,[OH]-[c]1:[cH]:[cH]:[c]:[cH]:[cH]:1,[CH3]-[C],459
CCCCOC=C,"[3, 4, 5]","[5, 6]","[1, 2, 3]",[CH]-[O]-[CH2],[CH]=[CH2],[CH2]-[CH2]-[CH2],220
CCOC=C,"[1, 2, 3]","[3, 4]","[0, 1]",[CH]-[O]-[CH2],[CH]=[CH2],[CH3]-[CH2],234
CCCCCCOC=C,"[5, 6, 7]","[7, 8]","[1, 2, 3, 4, 5]",[CH]-[O]-[CH2],[CH]=[CH2],[CH2]-[CH2]-[CH2]-[CH2]-[CH2],198
C=COCC(C)C,"[1, 2, 3]","[0, 1]","[4, 5]",[CH]-[O]-[CH2],[CH2]=[CH],[CH]-[CH3],255
C=COC(C)C,"[1, 2, 3]","[0, 1]","[3, 4]",[CH]-[O]-[CH],[CH2]=[CH],[CH]-[CH3],270
COC=C,"[0, 1, 2]","[2, 3]","[0, 1]",[CH]-[O]-[CH3],[CH]=[CH2],[CH3]-[O],245
CCCCCCCCOC=C,"[7, 8, 9]","[9, 10]","[1, 2, 3, 4, 5]",[CH]-[O]-[CH2],[CH]=[CH2],[CH2]-[CH2]-[CH2]-[CH2]-[CH2],193
CCCOC=C,"[2, 3, 4]","[4, 5]","[0, 1]",[CH]-[O]-[CH2],[CH]=[CH2],[CH3]-[CH2],224
CC(OC=C)CC,"[1, 2, 3]","[3, 4]","[0, 1]",[CH]-[O]-[CH],[CH]=[CH2],[CH3]-[CH],253
FC(=C(F)F)F,"[0, 1, 2, 5]","[0, 1]","[0, 1, 2, 3, 4, 5]",[C]=[C](-[F])-[F],[C]-[F],[F]-[C](-[F])=[C](-[F])-[F],390
BrC=C,"[1, 2]","[0, 1, 2]",[0],[CH]=[CH2],[CH2]=[CH]-[Br],[Br],373
FC=C,"[1, 2]","[0, 1]","[0, 1, 2]",[CH]=[CH2],[CH]-[F],[CH2]=[CH]-[F],300
C=Cc1ccc(cc1)Cl,"[2, 3, 4, 5, 6, 7]","[0, 1]","[0, 1, 2, 3, 4, 5, 6, 7]",[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1,[CH2]=[CH],[CH2]=[CH]-[c]1:[cH]:[cH]:[c]:[cH]:[cH]:1,398
C=Cc1ccccc1Cl,"[2, 3, 4, 5, 6, 7]","[0, 1]","[0, 1, 2, 3, 4, 5, 6, 7]",[cH]1:[cH]:[c]:[c]:[cH]:[cH]:1,[CH2]=[CH],[CH2]=[CH]-[c]1:[cH]:[cH]:[cH]:[cH]:[c]:1,395
C=Cc1ccc(cc1)Br,"[2, 3, 4, 5, 6, 7]","[0, 1]","[2, 3, 4, 5, 6, 7, 8]",[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1,[CH2]=[CH],[Br]-[c]1:[cH]:[cH]:[c]:[cH]:[cH]:1,411
ClC=C,"[1, 2]","[0, 1]","[0, 1, 2]",[CH]=[CH2],[CH]-[Cl],[CH2]=[CH]-[Cl],350
ClC(=C)Cl,"[1, 2]","[0, 1, 2, 3]","[0, 1]",[C]=[CH2],[CH2]=[C](-[Cl])-[Cl],[C]-[Cl],270
